title,price_in_aed,kilometers,body_condition,mechanical_condition,seller_type,body_type,no_of_cylinders,transmission_type,regional_specs,horsepower,fuel_type,steering_side,year,color,emirate,motors_trim,company,model,date_posted
Convertible Camaro,"62,000",150950,Perfect inside and out,Perfect inside and out,Owner,Soft Top Convertible,6,Automatic Transmission,North American Specs,Unknown,Diesel,Left Hand Side,2015,Yellow, Dubai,RS,chevrolet,camaro,23/03/2022
"2016 RENAULT CAPTUR WITH FULL SHOWROOM SERVICR HISTORY , GCC SPEC ACCIDENT FREE SINGLE OWNER","35,500",70000,Perfect inside and out,Perfect inside and out,Owner,Hatchback,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2016,Blue, Dubai,LE,renault,captur,3/5/2022
2014 SPORT UTILITY 4-DR PEARLWHITE LEXUS GX460,"91,000",218000,Perfect inside and out,Perfect inside and out,Owner,SUV,8,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2014,White, Dubai,Premium,lexus,gx-series,12/5/2022
"MERCEDES G63 AMG, 2022, FULL OPTIONS, CARBON, ZERO KM","1,149,000",0,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,European Specs,500 - 600 HP,Gasoline,Left Hand Side,,Grey, Dubai,G 63 AMG,mercedes-benz,g-class,27/03/2022
lexus ls-series,"34,000",89000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,8,Automatic Transmission,Japanese Specs,200 - 300 HP,Gasoline,Left Hand Side,2004,Black, Abu Dhabi,3/4 Ultra,lexus,ls-series,27/12/2021
AED 1173 PM | 0% DP | 2.5L SE GCC WARRANTY CRUISE CONTROL,"59,900",138117,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2016,Black, Dubai,SE,toyota,camry,13/02/2022
"Cash: 159,000 AED / Cash / Porsche 911 Carrera","159,000",97500,Perfect inside and out,Perfect inside and out,Dealer,Coupe,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2009,White, Dubai,Carrera,porsche,carrera,24/03/2022
X5 / BMW / GCC /,"89,000",70000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2014,White, Dubai,Xdrive50i,bmw,x5,15/03/2022
2022 I BRAND NEW I MERCEDES-BENZ I G63 AMG I DOUBLE NIGHT I FULLY LOADED I EXPORT PRICE : 980000AED,"980,000",0,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,European Specs,600 - 700 HP,Gasoline,Left Hand Side,,White, Dubai,G 63 AMG,mercedes-benz,g-class,13/04/2022
Inspected Car | 2014 Dodge Durango Limited 3.6L | Full Dodge Service History | GCC specs | Ref#13206,"58,000",133919,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2014,White, Dubai,Limited,dodge,durango,5/5/2022
Land Rover Defender First Edition 2021,"459,999",0,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,European Specs,400 - 500 HP,Gasoline,Left Hand Side,2021,Brown, Dubai,Other,land-rover,defender,11/5/2022
Amazing Land Cruiser 2018 with Engine Lexus 5.7 V8,"205,000",116242,Perfect inside and out,Perfect inside and out,Owner,SUV,8,Automatic Transmission,GCC Specs,500 - 600 HP,Gasoline,Left Hand Side,2018,Grey, Dubai,GXR,toyota,land-cruiser,10/5/2022
MERCEDES GLC300 2019 AMG63 KIT IN GREAT CONDITION,"135,000",66000,Perfect inside and out,Perfect inside and out,Dealer,SUV,4,Automatic Transmission,North American Specs,200 - 300 HP,Gasoline,Left Hand Side,2019,Black, Dubai,GLC 300 4MATIC,mercedes-benz,glc,20/03/2022
Mitsubishi Pajero 2015-GCC Accident Free First Owner Bank Finance Available on Zero Downpayment,"41,500",91000,Perfect inside and out,Perfect inside and out,Dealer,SUV,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2015,Grey, Dubai,GLS,mitsubishi,pajero,1/4/2022
S350 2013 with Low Mialeg in Good condition,"90,000",130000,Perfect inside and out,Perfect inside and out,Owner,Sedan,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2013,White, Dubai,S 350,mercedes-benz,s-class,10/5/2022
infiniti q70,"65,000",93000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,Unknown,Gasoline,Left Hand Side,2016,Brown, Sharjah,Luxury,infiniti,q70,4/5/2022
2022 BRAND NEW LAMBORGHINI HURACAN EVO SPIDER | AWD | HIGHEST OPTION,"1,348,000",0,Perfect inside and out,Perfect inside and out,Dealer,Soft Top Convertible,10,Automatic Transmission,Other,600 - 700 HP,Gasoline,Left Hand Side,,White, Dubai,LP 610-4 Spyder,lamborghini,huracan,14/04/2022
Nissan Patrol Safari MT 2021 Gold,"150,000",0,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Manual Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2021,Gold, Abu Dhabi,Safari MT,nissan,patrol,5/5/2022
Inspected Car | 2013 Ford Edge Sport 3.7L | GCC Specifications | Ref#9215,"37,000",199575,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2013,Silver, Dubai,Sport,ford,edge,18/03/2022
2020 Mercedes Benz GTR,"650,000",32000,Perfect inside and out,Perfect inside and out,Dealer,Coupe,8,Automatic Transmission,European Specs,700 - 800 HP,Gasoline,Left Hand Side,2020,White, Sharjah,S,mercedes-benz,gt,5/5/2022
Nissan Safari M/T 3 Doors Gcc 3 years local Dealer warranty,"145,000",0,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Manual Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2021,White, Dubai,Safari,nissan,patrol,9/12/2021
Toyota Previa 2.4L GOOD CONDITION ORIGINAL PAINT,"72,000",79000,Perfect inside and out,Perfect inside and out,Owner,SUV,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2018,White, Dubai,Other,toyota,previa,30/04/2022
Great Ford Mustang V6 Full Option in Perfect Condition well maintained,"49,000",158000,Perfect inside and out,Perfect inside and out,Owner,Coupe,6,Automatic Transmission,North American Specs,Unknown,Gasoline,Left Hand Side,2015,Burgundy, Abu Dhabi,Standard V6,ford,mustang,12/5/2022
